"","day","wday","hour","count"
"1075",17000,2,18,12
"1076",17000,2,19,10
"1077",17000,2,20,2
"1078",17000,2,21,5
"1079",17000,2,22,11
"1080",17000,2,23,16
"1081",17001,3,0,10
"1082",17001,3,1,7
"1083",17001,3,2,8
"1084",17001,3,3,7
"1085",17001,3,4,13
"1086",17001,3,5,6
"1087",17001,3,6,1
"1088",17001,3,7,5
"1089",17001,3,8,0
"1090",17001,3,9,2
"1091",17001,3,10,1
"1092",17001,3,11,1
"1093",17001,3,12,3
"1094",17001,3,13,5
"1095",17001,3,14,8
"1096",17001,3,15,14
"1097",17001,3,16,9
"1098",17001,3,17,7
"1099",17001,3,18,8
"1100",17001,3,19,12
"1101",17001,3,20,13
"1102",17001,3,21,11
"1103",17001,3,22,17
"1104",17001,3,23,14
"1105",17002,4,0,16
"1106",17002,4,1,11
"1107",17002,4,2,16
"1108",17002,4,3,11
"1109",17002,4,4,12
"1110",17002,4,5,10
"1111",17002,4,6,7
"1112",17002,4,7,0
"1113",17002,4,8,1
"1114",17002,4,9,2
"1115",17002,4,10,2
"1116",17002,4,11,6
"1117",17002,4,12,8
"1118",17002,4,13,6
"1119",17002,4,14,12
"1120",17002,4,15,9
"1121",17002,4,16,8
"1122",17002,4,17,11
"1123",17002,4,18,9
"1124",17002,4,19,12
"1125",17002,4,20,13
"1126",17002,4,21,12
"1127",17002,4,22,26
"1128",17002,4,23,36
"1129",17003,5,0,41
"1130",17003,5,1,20
"1131",17003,5,2,23
"1132",17003,5,3,19
"1133",17003,5,4,21
"1134",17003,5,5,16
"1135",17003,5,6,6
"1136",17003,5,7,4
"1137",17003,5,8,3
"1138",17003,5,9,1
"1139",17003,5,10,4
"1140",17003,5,11,3
"1141",17003,5,12,10
"1142",17003,5,13,9
"1143",17003,5,14,16
"1144",17003,5,15,9
"1145",17003,5,16,15
"1146",17003,5,17,13
